time,symbol,side,pred,price,amount,paper,status
1759191770.6744819,BTCUSDT,sell,-0.000651136040687561,114100.0,0.0008764241893076249,True,simulated
1759191776.3529465,BTCUSDT,sell,-0.000651136040687561,114100.0,0.0008764241893076249,True,simulated
1759191908.5724087,BTCUSDT,buy,0.0006655752658843994,114089.61,0.0008765040041770675,True,simulated
1759191941.3242486,BTCUSDT,buy,0.0006655752658843994,114089.61,0.0008765040041770675,True,simulated
1759191974.0566208,BTCUSDT,buy,0.0012677162885665894,114050.45,0.0008768049578059535,True,simulated
1759192006.782534,BTCUSDT,buy,0.0012677162885665894,114050.45,0.0008768049578059535,True,simulated
1759192039.5219996,BTCUSDT,buy,0.0018289238214492798,114076.25,0.0008766066556360329,True,simulated
1759192072.2270677,BTCUSDT,buy,0.0018289238214492798,114076.25,0.0008766066556360329,True,simulated
1759192104.9833367,BTCUSDT,buy,0.0019952580332756042,114115.0,0.000876308986548657,True,simulated
1759192137.8334458,BTCUSDT,buy,0.0019952580332756042,114115.0,0.000876308986548657,True,simulated
1759192170.6548927,BTCUSDT,buy,0.001794956624507904,114153.62,0.0008760125171676554,True,simulated
1759192269.2517605,BTCUSDT,sell,-0.0008862614631652832,114182.12,0.0008757938633474313,True,simulated
1759192301.9364362,BTCUSDT,sell,-0.0008862614631652832,114182.12,0.0008757938633474313,True,simulated
1759192334.7094605,BTCUSDT,sell,-0.0013092607259750366,114182.0,0.0008757947837662679,True,simulated
1759192367.327505,BTCUSDT,sell,-0.0013092607259750366,114182.0,0.0008757947837662679,True,simulated
1759192400.0877664,BTCUSDT,sell,-0.0005601346492767334,114207.52,0.0008755990848938844,True,simulated
1759192432.8041298,BTCUSDT,sell,-0.0005601346492767334,114207.52,0.0008755990848938844,True,simulated
1759192629.525791,BTCUSDT,sell,-0.0007179528474807739,114313.0,0.0008747911436144621,True,simulated
1759192662.318246,BTCUSDT,sell,-0.0007179528474807739,114313.0,0.0008747911436144621,True,simulated
1759192695.1475134,BTCUSDT,sell,-0.0008254721760749817,114319.02,0.0008747450774158141,True,simulated
1759192728.0056174,BTCUSDT,sell,-0.0008254721760749817,114319.02,0.0008747450774158141,True,simulated
1759192760.8927126,BTCUSDT,sell,-0.001035355031490326,114351.13,0.0008744994474475241,True,simulated
