#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,exchange,symbol,timeframe
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-23T08:07:52.806Z,118609.921,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-23T12:56:02.808Z,118307.89444444445,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-23T17:44:12.81Z,117967.107,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-23T22:32:22.812Z,118219.624,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-24T03:20:32.814Z,118953.9688888889,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-24T08:08:42.816Z,118037.21600000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-24T12:56:52.818Z,118524.60000000002,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-24T17:45:02.82Z,118755.731,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-24T22:33:12.822Z,118788.73400000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-25T03:21:22.824Z,117385.08111111111,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-25T08:09:32.826Z,115514.73399999998,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-25T12:57:42.828Z,116117.7611111111,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-25T17:45:52.83Z,115820.946,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-25T22:34:02.832Z,116897.33300000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-26T03:22:12.834Z,117447.85444444444,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-26T08:10:22.836Z,117432.66400000002,close,prices,binance,BTCUSDT,30m
