id,symbol,timeframe,ts,open,high,low,close,volume,source,created_at,updated_at
89339,BTCUSDT,30m,1758643200,112878.5,112878.6,112878.5,112878.6,0.0033394,influx,1758693343000,1758693343000
89338,BTCUSDT,30m,1758641400,112970.3,112970.3,112970.2,112970.3,0.00774365,influx,1758693343000,1758693343000
89337,BTCUSDT,30m,1758639600,112642.1,112674.9,112494.0,112663.1,24.6533661,influx,1758693343000,1758693343000
89336,BTCUSDT,30m,1758637800,112810.1,112880.8,112573.0,112642.0,115.72083269,influx,1758693343000,1758693343000
89335,BTCUSDT,30m,1758636000,112952.3,113290.3,112802.0,112820.6,103.12767409,influx,1758693343000,1758693343000
89334,BTCUSDT,30m,1758634200,112907.2,113010.0,112723.4,112952.3,106.78177995,influx,1758693343000,1758693343000
89333,BTCUSDT,30m,1758632400,112941.7,112942.3,112836.0,112908.1,30.70840369,influx,1758693343000,1758693343000
89332,BTCUSDT,30m,1758630600,112853.6,113047.5,112815.7,112944.4,56.33163779,influx,1758693343000,1758693343000
89331,BTCUSDT,30m,1758628800,112971.4,113033.0,112835.2,112853.5,64.74312136,influx,1758693343000,1758693343000
89330,BTCUSDT,30m,1758627000,112850.0,113073.1,112820.0,112971.5,40.91922042,influx,1758693343000,1758693343000
89329,BTCUSDT,30m,1758625200,112979.0,112979.0,112690.1,112850.0,90.52313857,influx,1758693343000,1758693343000
89328,BTCUSDT,30m,1758623400,112910.0,113006.6,112840.7,112978.9,67.80064559,influx,1758693343000,1758693343000
89327,BTCUSDT,30m,1758621600,112937.9,112993.0,112829.0,112909.9,47.26385145,influx,1758693343000,1758693343000
89326,BTCUSDT,30m,1758619800,113008.0,113108.1,112877.5,112937.8,37.29311227,influx,1758693343000,1758693343000
89325,BTCUSDT,30m,1758618000,113125.9,113284.3,113009.0,113009.0,43.18769355,influx,1758693343000,1758693343000
89324,BTCUSDT,30m,1758616200,113109.0,113126.0,113037.0,113125.9,21.77855376,influx,1758693343000,1758693343000
89323,BTCUSDT,30m,1758614400,113095.2,113168.3,112936.3,113109.1,69.44617301,influx,1758693343000,1758693343000
89322,BTCUSDT,30m,1758612600,112952.1,113112.0,112913.6,113095.3,69.46599723,influx,1758693343000,1758693343000
89321,BTCUSDT,30m,1758610800,112975.1,113077.7,112898.3,112952.0,80.04017417,influx,1758693343000,1758693343000
89320,BTCUSDT,30m,1758609000,112880.1,113110.7,112873.9,112975.1,59.892332,influx,1758693343000,1758693343000
89319,BTCUSDT,30m,1758607200,112671.0,112899.0,112618.9,112880.1,62.89297003,influx,1758693343000,1758693343000
89318,BTCUSDT,30m,1758605400,112765.0,112884.5,112661.0,112671.1,63.78206565,influx,1758693343000,1758693343000
89317,BTCUSDT,30m,1758603600,112437.8,112764.8,112428.0,112764.8,122.19179305,influx,1758693343000,1758693343000
89316,BTCUSDT,30m,1758601800,112028.0,112437.8,111876.2,112437.8,164.80263933,influx,1758693343000,1758693343000
89315,BTCUSDT,30m,1758600000,112331.0,112458.0,112028.9,112028.9,119.91993413,influx,1758693343000,1758693343000
89314,BTCUSDT,30m,1758598200,112314.0,112440.8,112204.0,112331.0,155.07537971,influx,1758693343000,1758693343000
89313,BTCUSDT,30m,1758596400,111818.0,112397.5,111479.8,112315.0,114.43662113,influx,1758693343000,1758693343000
89312,BTCUSDT,30m,1758594600,112022.8,112116.9,111673.7,111818.0,72.65372523,influx,1758693343000,1758693343000
89311,BTCUSDT,30m,1758592800,112156.6,112485.6,112022.7,112022.8,47.56737908,influx,1758693343000,1758693343000
89310,BTCUSDT,30m,1758591000,112499.1,112499.2,112150.0,112156.6,39.50338869,influx,1758693343000,1758693343000
89309,BTCUSDT,30m,1758589200,112397.2,112506.0,112309.6,112499.1,29.47238063,influx,1758693343000,1758693343000
89308,BTCUSDT,30m,1758587400,112751.1,112759.3,112385.1,112397.2,32.45094504,influx,1758693343000,1758693343000
89307,BTCUSDT,30m,1758585600,112659.1,112833.0,112500.0,112751.1,43.36745202,influx,1758693343000,1758693343000
89306,BTCUSDT,30m,1758583800,112627.4,112739.0,112593.1,112659.0,22.16026736,influx,1758693343000,1758693343000
89305,BTCUSDT,30m,1758582000,112645.0,112712.3,112592.1,112627.4,17.51898273,influx,1758693343000,1758693343000
89304,BTCUSDT,30m,1758580200,112657.0,112687.0,112595.0,112650.0,22.53584473,influx,1758693343000,1758693343000
89303,BTCUSDT,30m,1758578400,112968.0,112968.0,112658.0,112658.1,59.36797777,influx,1758693343000,1758693343000
89302,BTCUSDT,30m,1758576600,112696.9,112968.1,112696.9,112968.0,18.28386111,influx,1758693343000,1758693343000
89301,BTCUSDT,30m,1758574800,112781.1,112859.3,112603.1,112696.8,40.99776823,influx,1758693343000,1758693343000
89300,BTCUSDT,30m,1758573000,112285.4,112976.9,112285.3,112777.2,85.38502596,influx,1758693343000,1758693343000
89299,BTCUSDT,30m,1758571200,112119.9,112292.9,111976.9,112285.4,36.09572077,influx,1758693343000,1758693343000
89298,BTCUSDT,30m,1758569400,112460.1,112467.1,111947.0,112120.0,66.20312552,influx,1758693343000,1758693343000
89297,BTCUSDT,30m,1758567600,112442.7,112592.9,112430.5,112460.0,44.13551558,influx,1758693343000,1758693343000
89296,BTCUSDT,30m,1758565800,112682.0,112816.0,112415.1,112442.7,34.84608634,influx,1758693343000,1758693343000
89295,BTCUSDT,30m,1758564000,112394.4,112732.3,112354.1,112682.0,29.95020579,influx,1758693343000,1758693343000
89294,BTCUSDT,30m,1758562200,112402.5,112555.3,112331.5,112394.5,51.14059985,influx,1758693343000,1758693343000
89293,BTCUSDT,30m,1758560400,112594.1,112620.1,112253.0,112402.4,68.67380698,influx,1758693342000,1758693342000
