gen,nevals,avg,min,std
0,40,66073451837.42922,62959007772.36128,2915479408.73099
1,40,63995791632.824814,62955137392.260666,1476113557.928688
2,40,63039659043.42705,62435080078.74963,341543881.19331133
3,40,62775195914.75659,61581411156.55579,335085178.788892
4,40,62455075828.37443,60232887390.756134,533000709.2979392
5,40,61581212112.83736,60016786206.399895,792585570.4412792
6,40,60946027394.70921,59991911030.95613,678038681.6863976
7,40,60322042515.72975,58830303213.66212,584213783.0189424
